Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Юрченко,Ілля,Олександрович,Чоловіча,15.10.1970,Няня,селище Бурштин ,"шосе Райдужна, буд. 99, Долина , 29520",+380 (93) 138-05-02,viktorandrusenko@example.net
Баран,Юхим,Юрійович,Чоловіча,25.01.2007,Кінокритик,хутір Городенка,"площа Вчительської, 2-й, буд. 9, Гуляйполе, 14676",019 580-06-56,amaliiachumak@example.net
Фурс,Ярема,Олексійович,Чоловіча,17.01.1946,Маркетолог,селище Золочів,"вулиця Привокзальна, буд. 66 кв. 6, Бобринець, 75145",+380 12 678-98-46,zakhar14@example.com
Єрченко,Ілля,Вікторович,Чоловіча,24.04.2008,Кінокритик,хутір Комарно,"вулиця Сміливий, буд. 8, Судак , 22682",+380 17 680-90-68,olesokhrimenko@example.com
Чабан,Олесь,Іванович,Чоловіча,11.06.1982,Лікар,хутір Болград,"провулок Маразліївська, буд. 93, Пирятин, 52591",565 05 46,stefangzhytskyi@example.net
Симоненко,Прохір,Вікторович,Чоловіча,25.09.1942,Намотувальник,селище Голубівка,"площа 12-та Суворовська, буд. 833 кв. 46, Голубівка, 39754",+380 (62) 238-25-88,veniiamyn12@example.net
Єременко,Соломон,Юрійович,Чоловіча,24.06.1949,Гицель,село Вишневе ,"шосе Басейний 4-й, буд. 22, Гнівань, 78704",010 385-21-24,skybavalerii@example.com
Верхола,Петро,Іванович,Чоловіча,04.07.1953,Доцент,селище Чугуїв,"набережна Котляревського, буд. 005, Теплодар, 49323",426 80 26,aiurchenko@example.com
Верховинець,Тарас,Анатолійович,Чоловіча,22.07.1952,Будник,село Вознесенськ,"провулок Лінія 38-ма, буд. 59 кв. 74, Кам'янець-Подільський, 06309",+380 14 952-48-60,hlibriaboshapka@example.org
Журба,Демид,Анатолійович,Чоловіча,31.08.1999,Флорист,селище Судова Вишня,"набережна Квітковий, буд. 0, Звенигородка, 18802",+380 36 003-23-47,makarenkoamvrosii@example.org
Єщенко,Борис,Юрійович,Чоловіча,05.07.1949,Геофізик,хутір Кипуче,"проспект Бузкова, буд. 391, Сколе, 66664",029 140 43 52,ihor56@example.net
Щербак,Левко,Іванович,Чоловіча,09.09.1989,Кінорежисер,хутір Кропивницький,"вулиця Східний 1-й, буд. 26 кв. 4, Червоносів, 29740",+380 62 426 07 47,ivashchenko-zakharchenko@example.com
Бездітко,Петро,Іванович,Чоловіча,20.12.2004,Фізик,хутір Привілля,"площа Палубний, буд. 03, Липовець, 68456",+380 74 696 45 01,ckovalenko@example.com
Ніколюк,Мирослав,Юрійович,Чоловіча,12.07.1984,Єгер,місто Білопілля,"набережна Горбиста, буд. 7 кв. 02, Угнів, 17599",641 18 85,barantaras@example.net
Джус,Дан,Олександрович,Чоловіча,20.10.1952,Агроном,хутір Покров,"узвіз Старобазарний, буд. 038 кв. 750, Бершадь, 12217",+380 (97) 058-84-61,oleh48@example.net
Ґерета,Опанас,Юрійович,Чоловіча,08.03.2002,Петрограф,селище Тисмениця,"провулок Богуна, буд. 70, Красилів, 43370",062 761-33-55,martyn66@example.net
Скирда,Борис,Юрійович,Чоловіча,17.02.1955,Письменник,селище Миколаївка ,"набережна Садова 4-та, буд. 899, Дубровиця, 34949",+380 62 503-07-33,petroshvachka@example.com
Вакарчук,Пармен,Юрійович,Чоловіча,09.06.1938,Програміст,місто Сімферополь,"проспект Аеропортівський 5-й, буд. 89 кв. 711, Стебник, 77061",982-43-73,trokhymzasenko@example.org
Василенко,Зиновій,Олексійович,Чоловіча,18.01.1961,Менеджер,хутір Географія Вільнянська,"площа Південно-Санаторний, буд. 7 кв. 652, Зіньків, 66106",787 51 24,lbabak@example.com
Тимченко,Григорій,Юрійович,Чоловіча,13.03.1950,Локсмайстер,місто Зоринськ,"сквер Левадна, буд. 93, Івано-Франківськ, 66734",+380 (77) 292-57-97,ivanenkoteodor@example.com
Христенко,Ярослав,Юрійович,Чоловіча,05.11.1977,Економіст,хутір Винники,"парк Каспійський, буд. 559 кв. 68, Добропілля, 59748",+380 (41) 015-98-22,priska29@example.com
Ємець,Ярема,Олегович,Чоловіча,19.05.1989,Фольклорист,селище Теплодар,"набережна Соляний 3-й, буд. 2, Залізне, 41755",850 28 43,mariiakarmaliuk@example.com
Гоголь,Веніямин,Іванович,Чоловіча,26.09.1962,Архітектор,селище Олександрія,"вулиця Героїв прикордонників, буд. 7, Сорокине, 93427",+380 40 149-61-95,skyrdaborys@example.net
Гупало,Франц,Іванович,Чоловіча,25.06.2003,Підприємець,селище Вільнянськ,"вулиця Лінійна, буд. 457 кв. 926, Гадяч, 87819",+380 96 638-59-93,stepanmakarenko@example.net
Комар,Макар,Іванович,Чоловіча,13.05.1980,Кіноактор,хутір Пологи ,"узвіз Шефська, буд. 28 кв. 2, Красногорівка, 14513",+380 (45) 419-22-85,holoborodkoielysei@example.net
Лавренко,Євген,Олександрович,Чоловіча,21.07.1940,Доцент,село Немирів,"вулиця Чорноморський 11-й, буд. 1 кв. 44, Баранівка, 65318",303 97 42,olytvyn@example.org
Левченко,Венедикт,Юрійович,Чоловіча,13.10.1984,Конструктор,село Курахове,"парк Нежданової, буд. 3, Узин, 50112",+380 (29) 424-09-20,sshevchenko@example.net
Годунок,Святослав,Анатолійович,Чоловіча,21.12.1961,Педагог,місто Яворів,"вулиця Тимірязєва 3-й, буд. 002 кв. 7, Чугуїв, 60608",535 36 24,medvedenkopavlo@example.org
Сич,Григорій,Іванович,Чоловіча,17.03.1996,Педагог,село Радивилів,"набережна Іспанський, буд. 272, Березівка, 45079",+380 11 452-94-30,levko44@example.com
Алексійчук,Валентин,Анатолійович,Чоловіча,22.07.1950,Льотчик,селище Червоноград,"вулиця Зоопаркова, буд. 5 кв. 41, Горішні Плавні, 09546",+380 79 230-23-72,fmatviienko@example.net
Гаврилишин,Дмитро,Петрович,Чоловіча,27.10.1990,Водій,хутір Ромни,"площа Дунаєвського 1-й, буд. 17 кв. 5, Сіверськ, 77844",+380 87 317-70-75,korlyk@example.org
Колесниченко,Микита,Олександрович,Чоловіча,24.06.1971,Льотчик,селище Південне ,"набережна Десантний, буд. 510, Хотин, 62445",073 229 95 53,zaichenkomykyta@example.org
Авдєєнко,Юхим,Вікторович,Чоловіча,15.11.1939,Бібліотекар,місто Горохів,"набережна Український 2-й, буд. 358 кв. 8, Радехів, 11969",+380 56 937-93-27,darynafartushniak@example.com
Михайлюк,Ярослав,Петрович,Чоловіча,04.10.1939,Філолог,селище Міусинськ,"проспект Новгородський, буд. 975, Підгайці, 50217",087 206 59 56,uirvanets@example.com
Голик,Спас,Юрійович,Чоловіча,21.09.1952,Громадський діяч,селище Зміїв,"узвіз Альпіністів, буд. 29 кв. 42, Селидове, 21237",+380 (16) 566-97-35,aaron68@example.org
Зінчук,Амвросій,Анатолійович,Чоловіча,28.06.1938,Слідчий,хутір Липовець,"шосе Івана Вазова, буд. 4 кв. 2, Боково-Хрустальне, 85800",+380 (73) 389-43-90,ihor33@example.org
Аронець,Зиновій,Олександрович,Чоловіча,19.04.1983,Круп'є,хутір Рені,"вулиця Кондренка, буд. 41, Молочанськ, 24763",872 14 66,rhupalo@example.com
Лубенець,Марко,Юрійович,Чоловіча,21.04.2002,Геофізик,місто Вижниця,"сквер Балтський 7-й, буд. 207, Вижниця, 15381",+380 78 179-29-94,ekozak@example.com
Зарудний,Олесь,Юрійович,Чоловіча,06.11.1999,Психолог,село Світлодарськ,"сквер Пересипська 7-ма, буд. 2 кв. 70, Кобеляки, 44162",081 906 88 61,solomonmamchur@example.net
Теличенко,Степан,Іванович,Чоловіча,23.02.1996,Електрослюсар,село Соледар,"провулок Михайла Жванецького, буд. 656 кв. 296, Чоп, 36562",044 202-06-68,sbabarychenko@example.org
Козак,Амвросій,Олексійович,Чоловіча,02.02.1959,Психолог,село Люботин,"шосе Лиманчик 2-й Лінія 5-та, буд. 797 кв. 0, Острог, 97660",+380 62 664-19-37,terezagalagan@example.net
Сірченко,Федір,Петрович,Чоловіча,12.10.1939,Правник,село Жидачів,"проспект Леваневського, буд. 847 кв. 246, Новояворівськ, 94122",065 506-69-87,sofiiaakymenko@example.net
Чуйко,Сергій,Іванович,Чоловіча,19.07.1989,Головний меркшейдер,хутір Святогірськ,"площа Орловський, буд. 13, Пологи , 30493",+380 60 659-76-14,dmytrobezborodko@example.com
Їжак,Левко,Анатолійович,Чоловіча,31.12.1950,Кінорежисер,місто Лисичанськ,"сквер Армійська, буд. 3, Батурин, 41547",+380 86 526-87-63,ddurdynets@example.org
Каденюк,Герман,Юрійович,Чоловіча,05.04.1973,Секретар,селище Шпола,"вулиця Чернігівська, буд. 671, Подільськ, 77024",884 24 39,varfolomii77@example.net
Бабʼюк,Руслан,Юрійович,Чоловіча,20.01.1946,Ґрунтознавець,село Костопіль,"вулиця Балтський 5-й, буд. 8, Фастів, 76962",+380 (32) 517-57-34,zmasliak@example.org
Доценко,Петро,Олексійович,Чоловіча,15.08.1959,Астрофізик,місто Почаїв,"парк Локальна, буд. 895, Гайворон, 89634",+380 62 360 01 84,rchumak@example.org
Чабан,Тимофій,Олексійович,Чоловіча,02.05.1946,Патологоанатом,місто Лутугине,"проспект Павлодарська, буд. 961 кв. 49, Куп'янськ, 07826",049 203 59 37,okhrim97@example.com
Демʼянюк,Августин,Олександрович,Чоловіча,02.02.1985,Літературознавець,хутір Христинівка,"площа Чумацька, буд. 53 кв. 654, Помічна, 47567",+380 69 988 83 49,amaliiadashenko@example.org
Рябошапка,Валентин,Вікторович,Чоловіча,12.08.2002,Психолог,село Решетилівка,"узвіз Кибальчича, буд. 8, Бережани, 64516",+380 (95) 317-42-37,sementsiutsiura@example.com
Матяш,Лесь,Іванович,Чоловіча,22.02.1980,Інженер,селище Молочанськ,"проспект Локомотивний 3-й, буд. 90, Сорокине, 62619",060 364 37 90,liliiavakhnii@example.org
Адамчук,Олег,Юрійович,Чоловіча,30.07.1976,Євнух,місто Українськ,"узвіз Закарпатська, буд. 91 кв. 418, Прип'ять , 12435",033 957-73-90,emiliiashvedchenko@example.org
Стець,Франц,Петрович,Чоловіча,27.03.1973,Кінорежисер,село Алупка,"площа Будівельний, буд. 4 кв. 78, Брянка, 47049",+380 85 313 19 21,lukashtereza@example.org
Ященко,Костянтин,Олександрович,Чоловіча,14.05.1968,Музикант,хутір Залізне,"провулок Макаренка, буд. 3 кв. 24, Новояворівськ, 48842",006 161 59 25,cavramchuk@example.net
Чекалюк,Данило,Вікторович,Чоловіча,23.02.1979,Режисер,село Семенівка,"вулиця Саксаганського, буд. 5 кв. 566, Комарно, 65898",+380 66 014-28-19,ruslan69@example.net
Даниленко,Пилип,Олексійович,Чоловіча,27.05.1975,Філолог,селище Зборів,"парк Сумська, буд. 064, Стрий, 70585",+380 75 896-92-28,vasyl13@example.com
Носенко,Михайло,Іванович,Чоловіча,07.02.2002,Державний службовець,село Татарбунари,"проспект Мічуріна, буд. 0, Сквира, 88845",001 876-77-79,ostap39@example.com
Величко,Болеслав,Іванович,Чоловіча,06.08.1959,Психолог,місто Чернігів,"провулок Суворовська, буд. 61, Перечин, 23069",+380 36 481-12-85,rgereta@example.com
Смик,Азар,Олександрович,Чоловіча,31.01.1979,Модель,місто Калинівка ,"парк Амурський 2-й, буд. 591 кв. 810, Самбір, 53273",009 806-04-88,iaremaiemets@example.org
Ткач,Олександр,Юрійович,Чоловіча,23.11.1996,Паралегал,хутір Городок,"сквер Алмазна, буд. 42, Глиняни, 39020",371-88-01,tovstukhamykhailo@example.org
Дацюк,Віталій,Олексійович,Чоловіча,08.07.1973,Живописець,місто Рожище,"проспект Райдужна, буд. 4 кв. 466, Черкаси, 58732",087 420 58 33,davydenkomakar@example.com
Шило,Максим,Іванович,Чоловіча,04.04.1979,Математик,місто Олександрія,"шосе Офіцерський 1-й, буд. 253 кв. 681, Зоринськ, 61579",041 664-61-35,panaslaba@example.org
Фоменко,Веніямин,Вікторович,Чоловіча,02.08.1994,Доцент,хутір Татарбунари,"провулок Степана Разіна, буд. 341, Алмазна, 72339",+380 (80) 856-00-86,albert43@example.org
Абрагамовський,Сергій,Петрович,Чоловіча,08.08.1971,Медик,село Чорнобиль,"парк Басейний 4-й, буд. 0 кв. 0, Решетилівка, 44642",+380 22 081-88-14,usykanzhela@example.net
Копитко,Петро,Олегович,Чоловіча,16.06.1989,Дипломат,село Святогірськ,"шосе Танкістів, буд. 36 кв. 01, Чорноморськ, 93717",970 20 87,jhrytsenko@example.net
Александренко,Веніямин,Петрович,Чоловіча,19.02.1955,Дантист,село Южне,"узвіз Офіцерський 2-й, буд. 055, Боково-Хрустальне, 47928",055 670-82-73,hordiiskorobohatko@example.com
Шамрай,Єфрем,Юрійович,Чоловіча,24.08.1975,Нотаріус,селище Кременчук,"узвіз Самодіяльна, буд. 422, Бровари, 07139",+380 (65) 107-65-77,markoakulenko@example.com
Швайка,Левко,Олегович,Чоловіча,01.01.1948,Промисловець,село Федорівка,"парк Бодаревського, буд. 961 кв. 22, Вашківці, 87544",092 494-06-54,iaremkivmarta@example.org
Цісик,Тарас,Вікторович,Чоловіча,15.07.1958,Випробувач,хутір Лохвиця,"набережна Амбулаторний, буд. 454 кв. 8, Вугледар, 95384",+380 51 846-23-07,pdarahan@example.com
Товстоліс,Веніямин,Юрійович,Чоловіча,25.05.1954,Дизайнер,село Липовець,"набережна Миколи Гефта, буд. 3, Рівне, 51242",+380 43 779 08 82,spasandriienko@example.org
Євдокименко,Гаврило,Олегович,Чоловіча,21.02.1975,Кінорежисер,селище Слов'янськ,"набережна Цементний, буд. 498 кв. 301, Стебник, 87552",+380 13 886 86 40,rozaliia85@example.org
Андрієнко,Віталій,Юрійович,Чоловіча,09.10.2001,Диригент,селище Рубіжне,"парк Першотравневий 1-й, буд. 1, Ясинувата, 33112",+380 60 245 96 57,zvatamaniuk@example.org
Іванченко,Варфоломій,Олегович,Чоловіча,28.12.1976,Льотчик,селище Красилів,"провулок Лузанівська, буд. 52, Лубни, 30208",+380 81 508-74-69,tizhakevych@example.com
Кабалюк,Леонід,Іванович,Чоловіча,07.11.1967,Каскадер,селище Вовчанськ,"шосе Жасминна, буд. 8, Сніжне, 60445",+380 (09) 097-97-46,venedykt63@example.org
Шевченко,Зорян,Анатолійович,Чоловіча,29.10.2006,Гірничий інженер,місто Богодухів,"провулок Академіка Вавилова, буд. 7 кв. 46, Торецьк, 03250",085 082 24 28,feofan96@example.org
Демʼянюк,Семен,Вікторович,Чоловіча,30.12.1954,Драматург,хутір Буринь,"провулок Заводська 3-тя, буд. 479, Ірпінь, 69664",863 06 80,feofancherinko@example.com
Твердохліб,Адам,Олексійович,Чоловіча,10.01.1952,Стиліст,хутір Нова Каховка,"сквер Марії Демченко 2-й, буд. 41 кв. 602, Бобровиця, 22611",+380 (14) 181-06-43,vyshniakbohodar@example.com
Яремків,Нестор,Іванович,Чоловіча,28.11.1964,Стиліст,село Соснівка ,"проспект Байкал тупик, буд. 08, Хотин, 01667",+380 86 289-22-35,klymentmasliak@example.com
Петлюра,Омелян,Олексійович,Чоловіча,30.08.1992,Скульптор,село Соснівка ,"парк Нова, буд. 377 кв. 78, Гайворон, 54189",+380 84 111-27-77,odarka72@example.net
Іщенко,Михайло,Іванович,Чоловіча,27.06.1970,Перекладач,селище Шаргород,"набережна Художника Федорова, буд. 80 кв. 7, Рубіжне, 84532",+380 04 302-06-87,demianperebyinis@example.net
Данильчук,Адам,Іванович,Чоловіча,16.04.1938,Драматург,місто Бердянськ,"площа Балтський 7-й, буд. 701, Гуляйполе, 87514",027 669 76 36,nazarenkoazar@example.org
Бевзенко,Давид,Юрійович,Чоловіча,25.01.1952,Письменник,село Гайсин,"набережна Радіальна, буд. 245, Кадіївка, 91975",+380 (40) 400-96-66,nesterenkotaras@example.net
Лавренко,Руслан,Олексійович,Чоловіча,10.03.1954,Ботанік,селище Миргород,"проспект Акордна, буд. 181, Ананьїв, 40093",064 550 17 77,bohdan04@example.org
Швачка,Ростислав,Іванович,Чоловіча,10.08.1950,Драматург,хутір Герца,"вулиця Достоєвського, буд. 96 кв. 3, Золоте, 11850",+380 13 836-06-98,valentynababychenko@example.com
Овсієнко,Олег,Юрійович,Чоловіча,05.01.1945,Громадський діяч,хутір Бібрка,"парк Тимірязєва 5-й, буд. 9 кв. 42, Нова Каховка, 86198",+380 11 639 53 50,hlibkhomyk@example.net
Василенко,Петро,Іванович,Чоловіча,15.03.2006,Вчитель,хутір Зоринськ,"провулок Сегедська, буд. 673 кв. 56, Долинська, 85730",164 04 06,edrozdenko@example.org
Тесленко,Назар,Іванович,Чоловіча,27.11.1943,Круп'є,місто Радивилів,"узвіз Бучми, буд. 989, Корсунь-Шевченківський, 29458",089 670-53-25,ivanenkovitalii@example.com
Ватаманюк,Тарас,Іванович,Чоловіча,03.12.1981,Педагог,місто Середина-Буда,"набережна Дігтярна, буд. 03 кв. 5, Хорол , 19859",012 329 25 33,mishchenkoorest@example.com
Овсієнко,Леон,Олегович,Чоловіча,31.10.1979,Електромонтер,хутір Кам'янка (Черкаська область),"вулиця Водопровідний 1-й, буд. 593, Хмельницький, 82950",044 030 18 40,stanislav03@example.com
Власенко,Лесь,Іванович,Чоловіча,10.07.1986,Випробувач,хутір Комарно,"площа Уманська, буд. 776, Батурин, 86154",+380 (57) 510-15-90,mykolaibhydenko@example.net
Данильчук,Станіслав,Олексійович,Чоловіча,30.10.1985,Громадський діяч,хутір Южноукраїнськ,"проспект Юннатів 3-й, буд. 149 кв. 4, Рожище, 01647",000 422-38-24,bevzlevko@example.com
Голобородько,Володимир,Юрійович,Чоловіча,29.07.1970,Громадський діяч,хутір Лисичанськ,"шосе Олександра Блока, буд. 4, Вишневе , 30208",+380 25 366-36-66,tovstukhamykolai@example.com
Алексюк,Захар,Олександрович,Чоловіча,26.09.1948,Геолог,місто Долина ,"проспект Канатна, буд. 95 кв. 8, Тульчин, 93770",069 641-01-73,dubynafrants@example.com
Вовк,Стефан,Юрійович,Чоловіча,01.05.2007,Єгер,місто Добромиль,"набережна Нескучна, буд. 974 кв. 62, Дніпрорудне, 59123",018 447-41-97,ievavdovychenko@example.org
Матяш,Олекса,Петрович,Чоловіча,26.11.1983,Круп'є,місто Галич,"вулиця Нечипуренка, буд. 5 кв. 2, Кіцмань, 79941",383 89 32,nadiiavashchenko-zakharchenko@example.com
Демʼяненко,Богодар,Анатолійович,Чоловіча,27.06.2001,Петрограф,хутір Судова Вишня,"узвіз Бреуса, буд. 5 кв. 3, Сновськ, 26375",791-29-32,violetta93@example.org
Яремчук,Назар,Анатолійович,Чоловіча,20.01.1966,Реставратор,місто Ірміно,"проспект Перемоги, буд. 730 кв. 843, Першотравенськ, 70479",131-25-53,zakhartryhub@example.net
Жайворон,Панас,Олегович,Чоловіча,04.09.1952,Пілот,село Хоростків,"шосе 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 146, Ківерці, 36305",934-32-36,tesliaiaroslav@example.net
Бандура,Лукʼян,Петрович,Чоловіча,14.05.1959,Кінокритик,місто Маріуполь,"узвіз Деревообробний 4-й, буд. 324, Хрестівка, 74010",+380 (86) 115-18-71,saliiavhustyn@example.org
Шухевич,Олесь,Іванович,Чоловіча,06.06.1941,Живописець,місто Лубни,"проспект Тургенєва, буд. 719, Пологи , 14915",+380 89 884-66-02,xshamrai@example.com
Фесенко,Андрій,Іванович,Чоловіча,19.11.2002,Фармацевт,хутір Новогродівка,"провулок Желябова, буд. 26 кв. 3, Молочанськ, 65033",+380 85 139 65 02,viktoriia88@example.org
Швачка,Венедикт,Іванович,Чоловіча,05.03.2007,Інженер,місто Деражня,"набережна Людмили Гінзбург, буд. 9 кв. 2, Чуднів, 69904",+380 85 608-05-24,demianiukiefrem@example.org
Гаврюшенко,Святослав,Іванович,Чоловіча,09.09.1938,Дизайнер,місто Пирятин,"парк Немировича-Данченка, буд. 0 кв. 58, Одеса, 68769",067 234 29 09,babenkoanastasiia@example.com
Удовенко,Євген,Петрович,Чоловіча,01.07.1962,Мірошник,селище Берестечко,"парк Бугаївська, буд. 8 кв. 76, Червоносів, 65316",998 37 31,avhustyn12@example.com
Черненко,Леонтій,Юрійович,Чоловіча,15.11.2005,Візажист,місто Болград,"провулок Газовий, буд. 28 кв. 51, Лебедин, 67992",033 45 89,tetianaverhun@example.com
Вівчаренко,Іван,Вікторович,Чоловіча,31.07.2006,Літературознавець,село Жовті Води,"парк Академіка Заболотного, буд. 10, Кілія, 26900",+380 88 715 09 78,nehodaviktor@example.org
Лесик,Климент,Іванович,Чоловіча,10.02.1987,Модель,хутір Хмільник,"узвіз Стовпова, буд. 0, Сімферополь, 47126",+380 35 528 83 74,babychamvrosii@example.org
Романець,Венедикт,Іванович,Чоловіча,17.09.1963,Редактор,хутір Новодністровськ,"сквер Новобазарний, буд. 45 кв. 20, Балта, 82553",+380 (29) 933-82-65,justenko@example.net
Дейнека,Олесь,Іванович,Чоловіча,09.01.2001,Ріелтор,селище Перемишляни,"проспект Десятого квітня, буд. 6 кв. 378, Обухів, 49525",851-13-71,haidaburaavhustyn@example.net
Рак,Давид,Іванович,Чоловіча,12.03.2002,Детектив,село Хорол ,"набережна Проїзний 3-й, буд. 2, Деражня, 94663",038 945 73 69,eibozhenkobohdan@example.com
Колесниченко,Герман,Анатолійович,Чоловіча,21.04.2008,Антрополог,хутір Кальміуське,"шосе Астрономічна, буд. 102 кв. 55, Гайсин, 68204",+380 99 039-53-44,tymofii76@example.com
Ісаєвич,Олекса,Юрійович,Чоловіча,26.05.2007,Мікробіолог,село Чоп,"набережна Декабристів, буд. 5, Київ, 98113",109-11-60,tytarenkoliza@example.com
Конопля,Борислав,Петрович,Чоловіча,23.05.1962,Детектив,село Токмак,"вулиця Заньковецької, буд. 3, Підгородне, 91872",+380 (48) 841-18-02,oshchors@example.org
Бабійчук,Руслан,Олексійович,Чоловіча,22.03.1959,Інженер,село Середина-Буда,"парк Далекосхідна, буд. 406 кв. 845, Буринь, 93066",+380 30 590-67-94,fiaremenko@example.org
Чаленко,Гаврило,Юрійович,Чоловіча,16.08.1978,Антрополог,місто Заліщики,"узвіз Нескучна, буд. 421, Родинське, 76199",032 269-09-54,nalyvaikovioletta@example.com
Девдюк,Альберт,Олександрович,Чоловіча,31.03.1985,Державний службовець,село Олександрія,"провулок Кифоренка Бориса, буд. 41 кв. 0, Первомайський , 46114",979 22 54,anastasiia27@example.org
Зубко,Єлисей,Вікторович,Чоловіча,24.04.1944,Музикознавець,село Міусинськ,"проспект Лінія 25-та, буд. 12 кв. 76, Українка , 18570",369-11-78,romanrak@example.org
Єрмоленко,Станіслав,Юрійович,Чоловіча,14.06.1939,Випробувач,місто Світловодськ,"шосе Тракторна, буд. 3, Семенівка, 78424",381 74 89,cpushkar@example.com
Хорішко,Святослав,Олександрович,Чоловіча,19.12.2003,Архітектор,місто Остер ,"шосе Зоряна, буд. 76, Вилкове, 10524",095 679 93 18,fchervonenko@example.net
Аронець,Леопольд,Олександрович,Чоловіча,17.09.1947,Електротехнік,селище Жашків,"провулок Аеропортівський 5-й, буд. 9 кв. 336, Слов'янськ, 53343",+380 38 491 86 61,korzholeksa@example.com
Ковпак,Нестор,Вікторович,Чоловіча,26.03.1956,Психолог,місто Ладижин,"набережна 10-та Суворовська, буд. 324, Оріхів, 10355",+380 26 626-15-28,fsachenko@example.com
Давимука,Борислав,Олегович,Чоловіча,23.04.2005,Стропальник,хутір Луганськ,"вулиця Лінія 40-ва, буд. 43, Носівка, 64444",+380 37 620 64 77,kyrylo16@example.net
Харченко,Тарас,Юрійович,Чоловіча,26.12.1956,Доцент,місто Полтава,"проспект Володимира Хавкіна, буд. 980, Семенівка, 16620",041 397 24 02,bohodarabrahamovskyi@example.net
Стус,Аарон,Іванович,Чоловіча,01.08.1965,Мовознавець,село Олевськ,"набережна Романа Кармена, буд. 1, Болехів, 46174",026 642 03 82,mykhailyna39@example.com
Проценко,Гордій,Юрійович,Чоловіча,01.03.1995,Графік,селище Тетіїв,"проспект Дзвінка, буд. 25 кв. 7, Підгородне, 07069",+380 (47) 698-52-67,deisunavrelii@example.net
Туркало,Борислав,Олегович,Чоловіча,18.09.1938,Менеджер,селище Судак ,"проспект Юннатів 2-й, буд. 244 кв. 79, Красноград, 13524",461-90-06,kyrylovasylevych@example.com
Нестайко,Захар,Анатолійович,Чоловіча,06.03.1963,Драматург,місто Коростень,"провулок Митракова, буд. 4, Мирноград, 30765",+380 48 460-12-87,ielysavetaskyrda@example.net
Жадан,Валерій,Юрійович,Чоловіча,21.12.1937,Хореограф,хутір Зеленодольськ,"набережна Авангардна, буд. 08 кв. 19, Прип'ять , 95802",722 11 86,vitalii99@example.net
Гаєвський,Яків,Вікторович,Чоловіча,12.03.1995,Журналіст,хутір Шепетівка,"проспект Польова, буд. 2 кв. 92, Татарбунари, 50572",+380 13 377 55 30,boryslavbaklan@example.com
Деряжний,Валерій,Петрович,Чоловіча,25.06.1980,Хімік,селище Одеса,"парк Просьолочна, буд. 57, Сорокине, 02539",082 702-45-26,wovsiienko@example.com
Литвин,Юхим,Іванович,Чоловіча,19.02.1950,Клоун,селище Барвінкове,"сквер Семінарська, буд. 99 кв. 23, Калуш, 24303",+380 (72) 267-07-59,ulesyk@example.com
Бабиченко,Юстим,Юрійович,Чоловіча,14.07.1939,Перекладач,місто Скадовськ,"сквер Бессарабська, буд. 7, Чуднів, 06419",+380 74 502-01-37,edytazinchenko@example.net
Заєць,Володимир,Іванович,Чоловіча,09.04.1959,Соціолог,місто Гайворон,"шосе Бориса Літвака, буд. 66, Армянськ, 26975",+380 81 653 94 53,jshelest@example.org
Гресь,Амвросій,Олександрович,Чоловіча,23.11.1992,Реставратор,хутір Васильків,"сквер Яружний, буд. 581 кв. 86, Соснівка , 48289",+380 (61) 128-94-81,ybazylevskyi@example.com
Сімашкевич,Артем,Вікторович,Чоловіча,30.05.1996,Епідеміолог,село Перевальськ,"сквер 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 0, Хоростків, 11347",+380 (27) 724-06-45,orestkhudobiak@example.com
Цюцюра,Петро,Олегович,Чоловіча,17.10.1998,Клоун,місто Нова Каховка,"узвіз Мічманський 1-й, буд. 056 кв. 102, Глобине, 71409",+380 (92) 795-18-88,zhurbaivan@example.net
Гайдамака,Єфрем,Іванович,Чоловіча,03.01.1978,Адвокат,хутір Ланівці,"площа Мічуріна, буд. 30, Соледар, 43061",+380 08 122-92-34,shaidai@example.com
Дзюба,Гордій,Петрович,Чоловіча,11.08.1985,Провізор,селище Тетіїв,"узвіз Локомотивний 4-й, буд. 063 кв. 67, Суходільськ, 32957",+380 91 414 90 39,veniiamynzharko@example.org
Малик,Йосип,Анатолійович,Чоловіча,10.02.1977,Льотчик,селище Теплодар,"вулиця Моторний 3-й, буд. 32, Вараш, 86384",+380 86 542 19 52,datsiukanastasiia@example.com
Симоненко,Спас,Петрович,Чоловіча,02.05.1981,Реабілітолог,хутір Українськ,"парк Овідіопольська, буд. 023, Інкерман, 33260",+380 33 627-48-63,rozaliia73@example.com
Атаманюк,Юстим,Петрович,Чоловіча,26.10.1996,Модельєр,хутір Тульчин,"проспект Свободи, буд. 044 кв. 1, Яремче, 18426",955-73-58,dvertyporokh@example.com
Вертипорох,Аврелій,Олегович,Чоловіча,12.04.1941,Локсмайстер,селище Олександрівськ,"парк Аеропортівський 2-й, буд. 60 кв. 48, Гола Пристань, 68968",350 18 50,andriikorolenko@example.net
Ющенко,Олег,Олексійович,Чоловіча,26.12.1937,Дипломат,село Дубровиця,"шосе Коцебу міст, буд. 73, Червоносів, 42897",+380 74 248-98-68,iustynatytarenko@example.com
